0,"Name of Event",0,0,0,"Primary Event Tag","Event Tags",0,Description,0,Moderators,0,0,0,0,0,0,0,0,0,0,0,0,0,"Host Organization",0
1,"Wellstone City - Public Transit Assassins",0,16,20,,"Role Playing",0,"System - Savage Worlds 

4 to 7 players

A misdialed phone call from one of the major players in Wellstone City hands an opportunity to you and your crew. It's just a simple job, the promise of a reward, but it's a start and it's a chance; in Wellstone, that's as good as cash in hand....

Characters will be created at the table!  ",0,"Kevin Rohan",0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
2,"A Fistful of Muppets",0,20,23,,"Role Playing",0,"Savage Worlds

6 Players

*A Nanocon Favorite!!!*

Bert, Ernie, Grover, Animal, Oscar, and Beeker have found themselves teaming up to hit an army wagon bound for Mexico during the Civil War. It is carrying a fortune of $1000 in gold, and the perfect place to hit it is just outside of the sleepy border town of El Rey. The PCs find themselves converging on the small town when they find out it might not be so sleepy after all...

Characters are pre-gens! Fur, foam, and Bennies will fly!",0,"Kevin Rohan",0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
3,"Milecastle 42",0,21,25,,"Role Playing",0,"Savage Worlds

4-8 players

Last night, the watch light at Milecastle 42 went out. This milecastle, much like yours, is one of many stationed along the frontier, keeping the Empire safe from the masses of living dead beyond the wall.

Find out why the light went out. Secure the fort, provide back up until more forces arrive if necessary, but above all, stay alive and keep the Empire safe!

Characters are mostly pre-gens with some room for customization!",0,"Kevin Rohan",0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
4,"Adventure Design Workshop",0,13,15,,"Presentation, Role Playing, Panel",0,"Room for 6 or more!

Learn to design an adventure in just a few easy steps with Kevin Rohan. Kevin has been highlighted by many industry professionals and fans for his abilities to create quick, compact adventures that can be expanded out into multiple session story arcs. 

Sit with Kevin and see how he approaches the process of adventure creation and build an adventure skeleton with him!",0,"Kevin Rohan",0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
5,"Skull Keep",0,16,20,,"Role Playing",0,"Savage Worlds, Fantasy Companion

4 to 6 players

The crypt of the Necromancer Zuul'Tem has laid lost to the ages for decades; the Necromancer rose from his crypt years ago, but legend has it that some of his treasures remain for those who are brave enough to go looking, and lucky enough to have the map...",0,"Kevin Rohan",0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
6,"Camp Wicakini 5: The Funnel",0,20,24,,"Role Playing",0,"For almost 20 years, Wanagi Mato has been locked in a deep research facility owned by the Kinzey Corporation. He has had enough of the tests and the facility and he has decided to break out.  It is up to you and your fellow heavy security team members to keep that from happening, lest the unthinkable happen and the zombie apocalypse starts in Wellstone City.

This take on Savage Worlds puts each player in control of up to five security team members (with numbers declining rapidly!) to try to keep Wanagi Mato in the building. 

There's just one catch.  There is only one Wild Card in the adventure, and it isn't any of the players...",0,"Kevin Rohan",0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
7,"Adventure Design Workshop",0,21,23,,"Presentation, Role Playing, Panel",0,"Join the second session of Adventure design with Kevin Rohan. Learn to make adventures for your private game table, conventions, or even publication with this renowned industry professional. Sit down at this informal Sunday session to ask questions, learn some secrets from Kevin, and build the skeleton of an adventure right there in the work shop!

Have some fun on the last day of the convention with Kevin as we begin to close out the last day of the con!",0,"Kevin Rohan",0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
8,,0,0,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
9,"Camp Wicakini 1",0,16,20,"Role Playing","Role Playing",0,"Nestled among the dark forests of lake country stands a summer camp. It is a place named after an old Indian word; Camp Wicakini. On the shores of Lake Wicakini, the Lake of Ressurection, the camp has stood for decades. However, now something evil walks the woods; something terrible, something…hungry….

Characters are pregenerated.",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
10,"Camp Wicakini 2",0,20,24,"Role Playing","Role Playing",0,"Something's gone wrong at a summer camp deep in the woods. Very, very wrong. If it had been just punk kids screwing around, that would be one thing, but the report came in from the State Patrol's office, and it was a confused, scared report…almost nervous to be turning in a report on…zombies?

They dispatched an officer, but he turned back and wants immediate backup from the FBI. It just so happens that a special team is in Denver and you're a member of that team. It's a quick 6 hour trip to the camp from Denver, and you're briefed on what to expect. Zombies, man…what is the world coming to?

Survivors of Camp Wicakini 1 are welcome to stay. Characters will be generated at the table!",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
11,"Camp Wicakini 3: Wanagi Mato Lives!",0,12,16,"Role Playing","Role Playing",0,"System - Aether 

4 to 7 players

Five years after the horrible disaster that resulted in a total loss of Camp Wicakini, it's been rebuilt. New counselors, new buildings, new everything…except for one man.

The new caretaker, Max Mason, was one of the last campers to stay at Wicakini. He survived the initial zombie onslaught, and then the government came and rescued him. He has sworn that what happened on that fateful day almost exactly 5 years ago would never happen again, and this time, he's prepared.

Unfortunately, the blight of Camp Wicakini, Wanagi Mato, is also prepared, and has been plotting revenge for 5 years…

Characters will be created at the table!",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
12,"Camp Wicakini 4",0,16,20,"Role Playing","Role Playing",0,"System - Aether

4 to 7 players

None of this makes sense, but the pay is good, and the chance to work with the Kinzey's more in the future is way worth it.

Or so you thought. You have never been so wrong in all your life.

Characters will be created at the table!",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
13,"Breaking Murphy",0,20,24,"Role Playing","Role Playing",0,"System - Aether

4 to 7 players

Have you ever had one of those days…one where nothing seems to be going right? One that starts out bad and just seems to get worse and worse? Today is one of those days. To top it off, your crew just got a call from the Boss; you have three hours to plan a bank hit, get something out of Vault Security Box 42, and get out. So far, you’ve broken a shoe lace, broken a mirror, and feel like you’re being stalked by black cats. You’ve got a bad, bad feeling about this…

Characters will be created at the table!",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"Silver Gryphon Games",0
