event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,custom3,company,audience,subject,geo_area,tags,host_org,rsvp_url
1,Persona Midnight Event,Y,7/11/15 0:00,7/11/15 2:00,Persona,"Movie - Persona, Video Game",,"Join the Dark Hour in watching Persona 3 The Movie: : No. 2, Midsummer Knight's Dream. <br /><br />",,Tracy Booze,,,,,Speed Run Alleyway,,,,,,,,,,
10,Iron Cosplay,Y,7/11/15 15:00,7/11/15 17:30,Panel,"Anime, Panel",,Join the DSU Anime Club for our Annual Iron Cosplay Panel. Where you hand make a costume of your own imagination out of recyclable materials. This contest consists of teams to out build the others to win great prizes!,,Bryce Blocker,,,,,Theatre,,,,,,,,,Anime Club,
100,Paint and Take,Y,8/11/15 10:00,8/11/15 21:00,Miniatures,Miniatures,,"Come try your hand at painting a miniature. Paints, minis, brushes, and advice will all be available.",,Tucker Ramhorst,,,,,Paint and Take,,,,,,,,,,
101,Speed Paint,Y,8/11/15 14:00,8/11/15 15:00,Miniatures,Miniatures,,Speed painting contest. One hour for your best work on a figure supplied to you. Prizes for 1st and 2nd place.,,Tucker Ramhorst,,,,,Paint and Take,,,,,,,,,,
102,Painting Competition Judging,Y,8/11/15 16:00,8/11/15 17:00,Miniatures,Miniatures,,"Figures to be judged must be submitted prior to 3PM Sunday. Everyone welcome to come by and see what people have done. Prizes in categories: Science Fiction, Fantasy, and Large.",,Tucker Ramhorst,,,,,Paint and Take,,,,,,,,,,
103,Sushi Showdown,Y,7/11/15 14:00,7/11/15 15:00,Competition,Tournament,,Are you the fabled sushi master? Come and prove your mastery in a head to head contest against one another in the ultimate sushi challange down at Nanocon! Where fortune and honor are to be won!,,Bryce Blocker,,,,,Gaming Table 4,,,,,,,,,,
104,Play With Dyack,Y,7/11/15 15:00,7/11/15 18:00,,,,,Denis Dyack,,,,,,Gaming Table 5,,,,,,,,,,
105,Play With Dyack!,Y,8/11/15 15:00,8/11/15 18:00,,,,,Denis Dyack,,,,,,Gaming Table 5,,,,,,,,,,
11,Cthulhu: Gloom,Y,7/11/15 12:00,7/11/15 14:00,Card Game,"Card Game, Cthulhu",,"A transparent card game from Atlas Games<br /> <br /> From Dunwich to Innsmouth, from the halls of Miskatonic University to the Charles Dexter Ward at Arkham Sanitarium, trouble is in the air. The stars are almost right, and terrors from beyond space and time are beginning to break through. When Cthulhu rises, we're all doomed -- but whose downfall will be the most entertaining?<br /> <br /> In Cthulhu Gloom, you control a group of Lovecraftian protagonists and guide them down a path of horror and madness to an untimely death, while keeping your opponents happy, healthy, and annoyingly alive. While your characters Gibber With Ghouls and Learn Loathsome Lore to earn negative points, you'll encourage your opponents to be Analyzed by Alienists and to Just Forget About the Fungus to pile on positive points. When one group finally falls prey to the interdimensional doom that awaits us all, the player whose characters have suffered the most wins.<br /> <br /> Cthulhu Gloom is printed on transparent plastic cards. Multiple Modifier cards can be played on top of the same Character card; since the cards are transparent, elements from previously played Modifier cards either show through or are obscured by those played above them. You can immediately and easily see the point value of every character, no matter how many Modifiers they have piled on.<br /> <br /> Cthulhu Gloom is a stand-alone card game that's also fully compatible with Gloom and its expansions. It introduces Story cards and Transformation cards.<br /> <br /> One or more Story cards can be placed face up on the table at the start of the game; the first player to meet the conditions of a card -- drawing the attention of The King in Yellow or heeding The Call of Cthulhu, for example -- can claim it and gain the benefits it lists.<br /> <br /> Transformation cards have ongoing effects that remain with a character throughout his life, along with a picture that replaces the character's original art with something hideous and slimy; when you've Felt Rather Fishy or been Minced by Mi-Go, the squamous results aren't easily forgotten!<br />",,Chad Keifer,,,,,Gaming Table 3,,,,,,,,,,
12,Archer: the Danger Zone! Board game,Y,7/11/15 14:30,7/11/15 15:30,Board Game,"Archer, Board Game",,"Archer The Danger Zone! Board Game: A high-stakes game of espionage, international intrigue, and screwing over your co-workers.<br /> <br /> The object of the game is to gain the Upper Hand over your opponents by insulting them, doing well on missions (quite the ego boost), and encountering random guest stars and secondary characters from the show. Each player starts with 5 Upper Hand. The first player to get to 20 Upper Hand wins the game.<br /> <br /> Each player chooses one of the following characters to play: Archer, Lana, Malory, Cyril, Pam, Cheryl, Ray or Dr. Krieger. The insults and dirty tricks you deliver to the other players are based on actual quotes from the show that your character makes. The cards in your unique deck of 20 cards give you the ability to hurl insults, &acirc;&euro;&oelig;come on&acirc;&euro;ù to another character, or say something that builds up your character&acirc;&euro;&trade;s own ego.<br /> <br /> The action takes place at the ISIS Headquarters, though spy missions send the gang off to exotic locales each round of play. The game features 6 important office locations within ISIS, but you (typically) play with around 4 of them, making each game play out very differently as the &acirc;&euro;&oelig;Office Map&acirc;&euro;ù will be vary from game to game. Each location does something different, but only the first person to go to each location each round gets the benefit listed on that location. Surely there will be no name calling when another player beats you to the punch!<br /> <br /> The game is all about other players ticking you off and wanting to get the better of them.<br /> <br /> There are naturally plenty of opportunities to belittle your co-workers while in the office and out in the field. Doing so will knock them down a peg or two on the Upper Hand track.<br /> <br /> It all adds up to a humorously good time!",,Chad Keifer,,,,,Gaming Table 2,,,,,,,,,,
