1,"Persona Midnight Event",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
2,"Iron Cosplay",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
3,"Paint and Take",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
4,"Speed Paint",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
5,"Painting Competition Judging",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
6,"Sushi Showdown",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
7,"Play With Dyack",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
8,"Play With Dyack!",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
9,"Cthulhu: Gloom",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
10,"Archer: the Danger Zone! Board game",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
11,Gloom!,N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
12,"Horus Heresy: Victory is Vengeance",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
13,"Persona Recap Event",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
14,"D&D organized Play",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
15,"D&D organized Play",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
16,"D&D organized Play",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
17,"D&D organized Play",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
18,"Flashbax RPG Clinic",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
19,"D&D organized Play",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
20,"D&D organized Play",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
21,Gauntlet,N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
22,"PayDay 2",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
23,"Samurai Spirts",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
24,"Legends Of DnD",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
25,"Tales of Zesteria Marathon",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
26,"Don't Starve Together",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
27,"LoZ Dungeons & Dragons",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
28,"MTG EDH Design Challenge - Will of the Council",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
29,"X-Wing Escalation",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
30,"Society in Shadow LARP",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
31,"Over Night Axis and Allies",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
32,"Super Smash Bros. Wii U Tournament",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
33,"Keep Talking And Nobody Explodes",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
34,"Extra Life",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
35,"Super Smash Bros. Wii U Amiibo Tournament",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
36,"Boss Monster",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
37,"Game of Thrones the Board Game",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
38,"FireFly - The Board Game",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
39,"Society in Shadow LARP Session 1",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
40,"X-Wing Escalation",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
41,"Society in Shadow LARP Session 2",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
42,"Society in Shadow LARP Session 3",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
43,"The Wonders of the Occult",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
44,"Boss Monster",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
45,"Seven Wonders",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
46,"Zombie Dice",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
47,"Betrayal at House on the Hill",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
48,"Pathfinder Module: We Be Goblins",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
49,"We Be Goblins Too!",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
50,"Lords of Waterdeep",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
51,"X-Wing Escalation",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
52,"Lords of Waterdeep",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
53,Quantum,N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
54,Quantum,N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
55,Acquire,N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
56,Acquire,N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
57,"Monster Hunter 4 Gathering Hall",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
58,"Pig Bowl!",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
59,"Standard FNM",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
60,"BFZ Sealed",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
61,"MTG Rochester Draft",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
62,"X-Wing Escalation",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
63,"MTG Commander Pods of 4",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
64,"MTG 1v1 Commander",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
65,"MTG BFZ Sealed",N,,,,,,,,,,,,,"General Gaming Area",,,,,,,,,
