event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,company,audience,subject,geo_area,tags,host_org,rsvp_url,surveys
1,SuperFight Anime edition,Y,11/11/2016 1:00 PM,11/11/2016 3:00 PM,Card Game,,,Like to watch anime and like to argue which character would win in a fight then pick your character and equipment and let the fight begin.,,Gary Utecht,,,,,Gaming Table 1,,,,,,,,,,y
10,Super Smash Bros Melee Tournament,Y,11/12/2016 6:00 PM,11/12/2016 9:00 PM,Video Game,,,"Super Smash Bros 4 and Super Smash Bros Melee singles tournament. Double elimination, standard tournament rules apply. &nbsp;See the following bracket :&nbsp;<a href=""http://challonge.com/MeleeNanoCon"" target=""_blank"">http://challonge.com/MeleeNanoCon</a>",,Alex Van Keulen,,,,,Console Projector 1,,,,,,,,E-Sports Club,,y
11,Virtual Reality Demo,Y,11/12/2016 9:00 AM,11/13/2016 10:00 AM,Virtual Reality,,,"I would host a demo of Virtual Reality games using the HTC vive and Oculus Rift. Ideally, I would have a space of about 20ft by 20ft, to allow clearance for movement within the virtual space. I can work with less, preferably no less than 9x9 ft for the playspace and a separate table to host my computer/monitor/sign up sheets. I would have a schedule with sign up sheets and various game options for attendees to try out. I would host two stations, one sitting experience at the table with my desktop (and laptop) and another in the open space cleared for VR play using the HTC vive. I would have time slots of 15 minutes per person, so I could host about 8 people per hour, one on the seated Rift experience, one on the Vive movement experience.",,Chris Andersen,,,,,Theater,,,,,,,,,,y
12,Hero Quest,Y,11/12/2016 10:00 AM,11/12/2016 12:00 PM,Board Game,,,"Enter the World of Hero Quest...If You Dare! It's like no other game you've ever played! Dark caverns. Gory monsters. Deadly traps...and worse! Once you enter the mysterious underground world of Hero Quest, there's no turning back. Which daring hero will you be? THE BARBARIAN: The mightiest warrior! Few can match him in mortal combat! THE ELF: A proud champion with fighting skills matched only by his magic! THE WIZARD: A master of sorcery. His knowledge and use of magic is unrivaled. THE DWARF: A fearless fighter with a unique ability to disarm traps. Your first Quest is about to begin! Will the evil forces of doom be stopped? Will the land be saved from destruction? It's all up to you. Good luck!",,,,,,,Gaming Table 1,,,,,,,,,,y
13,Settlers of America: Trails to Rails,Y,11/12/2016 1:00 PM,11/12/2016 3:00 PM,Board Game,,,"The 19th Century has arrived and America is heading west. Wagon trains form on the frontier. Settlers seeking fresh lives and opportunities strike out to tame wild lands and build new cities. These new cities rely on young railroads for vital goods. Trails become rails and create great wealth. While the crowded East still offers options, its resources dwindle. Look west to make your fortune. Smart money seeks rich, unclaimed land and hungry new markets. Finance your settlers as they head west to build capitals of tomorrow. Link these cities with rails of steel. Operate your railroad to supply the townsfolk with goods. Go west. Settle the wide, open land. Claim your destiny. Settlers of America, Trails to Rails utilizes the simple, fun Catan hex-tile grid to map the young United States. Collect and trade resources in order to purchase and move settlers, build cities, lay rails and acquire and move trains. Create rail links to acquire gold, which lets you buy resources and use opponents' rails. Use trains to distribute goods to rival cities. But, as your settlers populate the West, they deplete the resources of the East. Still, your options always abound.",,,,,,,Gaming Table 1,,,,,,,,,,y
14,Closet Cosplay with Cassandra Rain,Y,11/12/2016 2:00 PM,11/12/2016 3:00 PM,Panel,,,Closet cosplay is a panel that focuses on great ways to save money while still portraying characters you love. During this hour Cassandra Rain will have many different examples of closet cosplay she has put together. Come talk tips with her and hopefully get inspired to start cosplaying!,,Cassandra Nixon,,,,,Gaming Table 3,,,,,,,,Cassandra Rain,,y
15,D&D Adventures League DDAL 4-10 The Artifact (Level 5-10),Y,11/10/2016 1:00 PM,11/10/2016 5:00 PM,Role Playing,,,An expedition to the Amber Temple reveals another major minion of the enemy and uncovers a secret weapon that may help defeat them. Part ten of Misty Fortunes and Absent Hearts. Level 5-10,,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
16,D&D Adventures League DDAL 4-11 The Donjon (Level 5-10)),Y,11/10/2016 7:00 PM,11/10/2016 11:00 PM,Role Playing,,,The village of Ora?nou is panicked when a group of Bloodhand orcs appear at the edge of the woods. They bring news and an unusual request that reveals a new foe. Part eleven of Misty Fortunes and Absent Hearts. Level 5-10,,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
17,D&D Adventures League DDAL 4-12 The Raven (Level 5-10),Y,11/11/2016 9:00 AM,11/11/2016 1:00 PM,Role Playing,,,The Bloodhand orcs have a prisoner that may hold the answers to the strange goings on and the key to stopping the enemy. Now you just have to convince them to hand the prisoner over. Part twelve of Misty Fortunes and Absent Hearts. Level 5-10,,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
18,D&D Adventures League DDAL 4-13 The Horsemen (Level 5-10),Y,11/11/2016 2:00 PM,11/11/2016 6:00 PM,Role Playing,,,The unexpected ally imparts the secret you have been searching for and now only one more puppet remains before you can finally face the enemy. Unfortunately your allies begin to pay the price for your interference in the enemy's plans. Part thirteen of Misty Fortunes and Absent Hearts. Level 5-10,,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
19,D&D Adventuers League DDAL 4-14 The Dark Lord (Level 5-10),Y,11/11/2016 7:00 PM,11/11/2016 11:00 PM,Role Playing,,,"The enemy is revealed, but time is short and if you are not successful in your mission to Mount Baratok, love will never die. Part fourteen and the finale of Misty Fortunes and Absent Hearts. Level 5-10",,Kevin Engling,,,,,RPGA Table 2,,,,,,,,,,y
2,Game of Thrones Board Game,Y,11/13/2016 12:00 PM,11/13/2016 3:00 PM,Board Game,,,"Lead one of six of the most iconic families of Westeros in their bid to gain control of the Iron Throne, no matter what it takes.",,Zachary Truesdell,,,,,Gaming Table 1,,,,,,,,,,y
